,x,y,z,priority,exist,my_area
0,1.2267,-0.874,0.076,3,FALSE,TRUE
1,1.3267,-0.874,0.076,2,FALSE,TRUE
2,1.4267,-0.874,0.076,1,FALSE,TRUE
3,1.2267,-0.974,0.076,6,FALSE,TRUE
4,1.3267,-0.974,0.076,5,FALSE,TRUE
5,1.4267,-0.974,0.076,4,FALSE,TRUE
6,1.2267,-1.075,0.076,9,FALSE,TRUE
7,1.3267,-1.075,0.076,8,FALSE,TRUE
8,1.4267,-1.075,0.076,7,FALSE,TRUE
9,1.2267,-1.175,0.076,12,FALSE,TRUE
10,1.3267,-1.175,0.076,11,FALSE,TRUE
11,1.4267,-1.175,0.076,10,FALSE,TRUE
12,1.2267,-1.276,0.076,15,FALSE,TRUE
13,1.3267,-1.276,0.076,14,FALSE,TRUE
14,1.4267,-1.276,0.076,13,FALSE,TRUE
15,1.2267,-1.376,0.076,18,FALSE,TRUE
16,1.3267,-1.376,0.076,17,FALSE,TRUE
17,1.4267,-1.376,0.076,16,FALSE,TRUE
